epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.4176110026520483,0.5107587768969423,1.054646848999853,0.6896551724137931,0.001
2,0.9724761556796012,0.6845979614949037,0.8591895794362541,0.7480106100795756,0.001
3,0.8270299357034072,0.7338618346545867,0.7325854623981749,0.7771883289124668,0.001
4,0.7535778368450912,0.766704416761042,0.7037376872108216,0.7718832891246684,0.001
5,0.7168956062126808,0.7593431483578709,0.642350383399336,0.8063660477453581,0.001
6,0.6766525478284734,0.7621744054360136,0.6132298311124746,0.8037135278514589,0.001
7,0.6358475518051118,0.7740656851642129,0.6040976803245848,0.8010610079575596,0.001
8,0.6104936914967789,0.796149490373726,0.584203459381741,0.8116710875331565,0.001
9,0.5910916767195964,0.79841449603624,0.5451749076261444,0.8275862068965517,0.001
10,0.5685129744820254,0.8080407701019252,0.5580072922320833,0.8063660477453581,0.001
